hub,BRS,risk_tier,avg_delay,sla_breach_rate,bc_weighted,total_load,in_degree,out_degree,closeness,pagerank,sla_breach_trips_est,revenue_at_risk_est
IND000000ACB,0.665466803831811,Critical,1.8970769293613037,0.9760997130252281,0.10471561802180482,38539.0,40,47,0.12669875895067367,0.012619015489674403,37617,3761700
IND212402AAA,0.5020440979113753,Critical,34.851052999079315,1.0,0.0005323496358567947,101.0,1,1,0.05379147504443755,0.0006916041663745846,101,10100
IND562132AAA,0.4706392063925623,Critical,1.80182145940159,0.9666165413533835,0.0693233066246333,20994.0,36,33,0.12013429426591052,0.0119043870715535,20293,2029300
IND785634AAA,0.4624543638399563,Critical,31.108333333333334,1.0,0.0,9.0,0,0,0.0,0.00017063115510533762,9,900
IND416606AAA,0.38717501029550927,Critical,23.556107262598584,1.0,0.0,118.0,1,1,0.06477254389019595,0.0005180840561222195,118,11800
IND395006AAA,0.3863158914617897,Critical,23.50208333333333,1.0,0.0,57.0,1,0,0.0016438539989264626,0.00042787865355074176,57,5700
IND208012AAA,0.3686229084549443,Critical,22.183623911419964,0.9696969696969697,0.0,75.0,1,1,0.08368769615696947,0.0005343853042745383,72,7200
IND211008AAA,0.3528472557620621,Critical,20.189616402116403,1.0,0.0,18.0,0,1,0.0,0.00017063115510533762,18,1800
IND121002AAA,0.3416592993236514,Critical,19.083333333333332,1.0,0.0,3.0,0,0,0.0,0.00017063115510533762,3,300
IND501359AAE,0.33734778775353746,Critical,1.9785068299177304,0.9835329341317365,0.04395770392749245,8482.0,28,26,0.11658602397113678,0.012216788323943526,8342,834200
